Time,VehicleId,Pos_x,Pos_y,Speed,Lane,Acceleration,LeaderID,LeaderSpeed,LeaderGap,Deceleration,RelativeSpeed,TTC,SafeDistance,hard_brake,danger_accel_toward_leader,leader_stopped,no_reaction_to_stopped_leader,SafeDangerZone
9.0,0,-52.47,-1.6,12.95,21,-0.5,-1,-1.0,-1.0,0.5,13.95,999.0,3.885,False,False,False,False,0
9.0,1,-78.94,-1.6,6.69,21,-3.13,10101,0.0,13.94,3.13,6.69,2.0837070254110612,2.007,False,False,True,False,1
9.0,2,14.67,1.6,5.5,14,-2.0,-1,-1.0,-1.0,2.0,6.5,999.0,1.6500000000000001,False,False,False,False,0
9.0,3,28.99,1.6,5.89,14,-2.0,2,5.5,9.32,2.0,0.3899999999999997,23.89743589743592,1.767,False,False,False,False,1
9.0,4,-1.6,28.5,11.16,16,-0.44,-1,-1.0,-1.0,0.44,12.16,999.0,3.3480000000000003,False,False,False,False,0
9.1,0,-51.21,-1.6,12.6,21,-3.5,-1,-1.0,-1.0,3.5,13.6,999.0,3.7800000000000002,False,False,False,False,0
9.1,1,-78.3,-1.6,6.41,21,-2.8,10101,0.0,13.3,2.8,6.41,2.074882995319813,1.923,False,False,True,False,1
9.1,2,14.14,1.6,5.3,14,-2.0,-1,-1.0,-1.0,2.0,6.3,999.0,1.59,False,False,False,False,0
9.1,3,28.42,1.6,5.71,14,-1.76,2,5.3,9.28,1.76,0.41000000000000014,22.634146341463406,1.7129999999999999,False,False,False,False,1
9.1,4,-1.6,27.39,11.1,16,-0.63,-1,-1.0,-1.0,0.63,12.1,999.0,3.3299999999999996,False,False,False,False,0
9.2,0,-49.92,-1.6,12.92,21,3.18,-1,-1.0,-1.0,0.0,13.92,999.0,3.8760000000000003,False,False,False,False,0
9.2,1,-77.68,-1.6,6.23,21,-1.79,10101,0.0,12.68,1.79,6.23,2.0353130016051364,1.869,False,False,True,False,1
9.2,2,13.63,1.6,5.1,14,-2.0,-1,-1.0,-1.0,2.0,6.1,999.0,1.53,False,False,False,False,0
9.2,3,27.87,1.6,5.51,14,-2.0,2,5.1,9.23,2.0,0.41000000000000014,22.512195121951212,1.6529999999999998,False,False,False,False,1
9.2,4,-1.6,26.25,11.43,16,3.36,-1,-1.0,-1.0,0.0,12.43,999.0,3.4290000000000003,False,False,False,False,0
9.3,0,-48.63,-1.6,12.96,21,0.42,-1,-1.0,-1.0,0.0,13.96,999.0,3.888,False,False,False,False,0
9.3,1,-77.08,-1.6,5.98,21,-2.47,10101,0.0,12.08,2.47,5.98,2.020066889632107,1.7940000000000003,False,False,True,False,1
9.3,2,13.14,1.6,4.9,14,-2.0,-1,-1.0,-1.0,2.0,5.9,999.0,1.4700000000000002,False,False,False,False,0
9.3,3,27.32,1.6,5.46,14,-0.59,2,4.9,9.18,0.59,0.5599999999999996,16.392857142857153,1.6380000000000001,False,False,False,False,1
9.3,4,-1.6,25.1,11.47,16,0.37,-1,-1.0,-1.0,0.0,12.47,999.0,3.441,False,False,False,False,0
9.4,0,-47.36,-1.6,12.61,21,-3.5,-1,-1.0,-1.0,3.5,13.61,999.0,3.7829999999999995,False,False,False,False,0
9.4,1,-76.51,-1.6,5.73,21,-2.5,10101,0.0,11.51,2.5,5.73,2.008726003490401,1.7190000000000003,False,False,True,False,1
9.4,2,12.67,1.6,4.7,14,-2.0,-1,-1.0,-1.0,2.0,5.7,999.0,1.4100000000000001,False,False,False,False,0
