"Time","VehicleId","Pos_x","Pos_y","Type","Speed","Lane","Slope","LeaderID","LeaderSpeed","LeaderGap","Acceleration"
"5.30","vehicle_2","48.26","1.60","type3","12.80","east_left_0","0.00","-1","-1","-1","-2.00"
"5.30","vehicle_3","61.21","1.60","type3","11.85","east_left_0","0.00","vehicle_2","12.80","7.95","-2.00"
"5.30","vehicle_4","-1.60","70.08","type2","11.48","north_down_0","0.00","-1","-1","-1","3.15"
"5.30","vehicle_5","-1.60","86.32","type4","8.83","north_down_0","0.00","vehicle_4","11.48","11.24","4.04"
"5.30","x","-68.80","-1.60","obstacle","8.51","west_right_0","0.00","-1","-1","-1","-4.00"
"5.40","vehicle_0","-81.17","-1.60","type1","6.85","west_right_0","0.00","x","8.11","8.18","-3.50"
"5.40","vehicle_1","-94.24","-1.60","type5","1.40","west_right_0","0.00","vehicle_0","6.85","8.07","1.42"
"5.40","vehicle_2","46.99","1.60","type3","12.67","east_left_0","0.00","-1","-1","-1","-1.35"
"5.40","vehicle_3","60.04","1.60","type3","11.65","east_left_0","0.00","vehicle_2","12.67","8.05","-2.00"
"5.40","vehicle_4","-1.60","68.98","type2","11.01","north_down_0","0.00","-1","-1","-1","-4.66"
"5.40","vehicle_5","-1.60","85.44","type4","8.78","north_down_0","0.00","vehicle_4","11.01","11.47","-0.45"
"5.40","x","-67.99","-1.60","obstacle","8.11","west_right_0","0.00","-1","-1","-1","-4.00"
"5.50","vehicle_0","-80.50","-1.60","type1","6.65","west_right_0","0.00","x","7.71","8.28","-2.04"
"5.50","vehicle_1","-94.08","-1.60","type5","1.58","west_right_0","0.00","vehicle_0","6.65","8.58","1.73"
"5.50","vehicle_2","45.75","1.60","type3","12.47","east_left_0","0.00","-1","-1","-1","-2.00"
"5.50","vehicle_3","58.90","1.60","type3","11.45","east_left_0","0.00","vehicle_2","12.47","8.15","-2.00"
"5.50","vehicle_4","-1.60","67.86","type2","11.20","north_down_0","0.00","-1","-1","-1","1.87"
"5.50","vehicle_5","-1.60","84.52","type4","9.20","north_down_0","0.00","vehicle_4","11.20","11.67","4.18"
"5.50","x","-67.22","-1.60","obstacle","7.71","west_right_0","0.00","-1","-1","-1","-4.00"
"5.60","vehicle_0","-79.85","-1.60","type1","6.53","west_right_0","0.00","x","7.31","8.36","-1.20"
"5.60","vehicle_1","-93.91","-1.60","type5","1.72","west_right_0","0.00","vehicle_0","6.53","9.06","1.47"
"5.60","vehicle_2","44.52","1.60","type3","12.27","east_left_0","0.00","-1","-1","-1","-2.00"
"5.60","vehicle_3","57.77","1.60","type3","11.25","east_left_0","0.00","vehicle_2","12.27","8.25","-2.00"
"5.60","vehicle_4","-1.60","66.75","type2","11.07","north_down_0","0.00","-1","-1","-1","-1.34"
"5.60","vehicle_5","-1.60","83.59","type4","9.31","north_down_0","0.00","vehicle_4","11.07","11.84","1.12"
"5.60","x","-66.49","-1.60","obstacle","7.31","west_right_0","0.00","-1","-1","-1","-4.00"
"5.70","vehicle_0","-79.22","-1.60","type1","6.33","west_right_0","0.00","x","6.93","8.42","-2.02"
"5.70","vehicle_1","-93.72","-1.60","type5","1.86","west_right_0","0.00","vehicle_0","6.33","9.51","1.33"
"5.70","vehicle_2","43.31","1.60","type3","12.07","east_left_0","0.00","-1","-1","-1","-2.00"
"5.70","vehicle_3","56.64","1.60","type3","11.28","east_left_0","0.00","vehicle_2","12.07","8.33","0.30"
"5.70","vehicle_4","-1.60","65.64","type2","11.12","north_down_0","0.00","-1","-1","-1","0.50"
"5.70","vehicle_5","-1.60","82.68","type4","9.15","north_down_0","0.00","vehicle_4","11.12","12.04","-1.65"
"5.70","x","-65.79","-1.60","obstacle","6.93","west_right_0","0.00","-1","-1","-1","-3.83"
"5.80","vehicle_0","-78.61","-1.60","type1","6.08","west_right_0","0.00","x","6.53","8.47","-2.42"
"5.80","vehicle_1","-93.52","-1.60","type5","1.99","west_right_0","0.00","vehicle_0","6.08","9.92","1.32"
"5.80","vehicle_2","42.13","1.60","type3","11.87","east_left_0","0.00","-1","-1","-1","-2.00"
"5.80","vehicle_3","55.54","1.60","type3","11.08","east_left_0","0.00","vehicle_2","11.87","8.41","-2.00"
"5.80","vehicle_4","-1.60","64.49","type2","11.45","north_down_0","0.00","-1","-1","-1","3.29"
"5.80","vehicle_5","-1.60","81.71","type4","9.67","north_down_0","0.00","vehicle_4","11.45","12.22","5.24"
"5.80","x","-65.14","-1.60","obstacle","6.53","west_right_0","0.00","-1","-1","-1","-4.00"
"5.90","vehicle_0","-78.03","-1.60","type1","5.76","west_right_0","0.00","x","6.21","8.51","-3.21"
"5.90","vehicle_1","-93.31","-1.60","type5","2.15","west_right_0","0.00","vehicle_0","5.76","10.28","1.59"
"5.90","vehicle_2","40.96","1.60","type3","11.67","east_left_0","0.00","-1","-1","-1","-2.00"
"5.90","vehicle_3","54.44","1.60","type3","10.93","east_left_0","0.00","vehicle_2","11.67","8.48","-1.50"
"5.90","vehicle_4","-1.60","63.37","type2","11.25","north_down_0","0.00","-1","-1","-1","-1.94"
"5.90","vehicle_5","-1.60","80.71","type4","9.99","north_down_0","0.00","vehicle_4","11.25","12.34","3.22"
"5.90","x","-64.52","-1.60","obstacle","6.21","west_right_0","0.00","-1","-1","-1","-3.22"
"6.00","vehicle_0","-77.46","-1.60","type1","5.76","west_right_0","0.00","x","5.81","8.51","-0.07"
"6.00","vehicle_1","-93.08","-1.60","type5","2.30","west_right_0","0.00","vehicle_0","5.76","10.63","1.48"
"6.00","vehicle_2","39.81","1.60","type3","11.47","east_left_0","0.00","-1","-1","-1","-2.00"
"6.00","vehicle_3","53.37","1.60","type3","10.73","east_left_0","0.00","vehicle_2","11.47","8.56","-2.00"
"6.00","vehicle_4","-1.60","62.26","type2","11.09","north_down_0","0.00","-1","-1","-1","-1.61"
"6.00","vehicle_5","-1.60","79.73","type4","9.79","north_down_0","0.00","vehicle_4","11.09","12.47","-2.05"
"6.00","x","-63.94","-1.60","obstacle","5.81","west_right_0","0.00","-1","-1","-1","-4.00"
"6.10","vehicle_0","-76.91","-1.60","type1","5.43","west_right_0","0.00","x","5.41","8.51","-3.26"
"6.10","vehicle_1","-92.84","-1.60","type5","2.41","west_right_0","0.00","vehicle_0","5.43","10.93","1.13"
"6.10","vehicle_2","38.69","1.60","type3","11.27","east_left_0","0.00","-1","-1","-1","-2.00"
"6.10","vehicle_3","52.32","1.60","type3","10.53","east_left_0","0.00","vehicle_2","11.27","8.63","-2.00"
"6.10","vehicle_4","-1.60","61.13","type2","11.24","north_down_0","0.00","-1","-1","-1","1.45"
